keyword,winner_category,winner_item,rule,other_candidates
airbnb,Relaxation & Leisure,Weekend Getaway,first-in-csv,Cabin Trip (Relaxation & Leisure)
alltrails,Sports & Fitness,Hiking,first-in-csv,Nature Walk (Relaxation & Leisure)
amazon,"Shopping, Money & Services",Shopping,first-in-csv,"Delivery (Shopping, Money & Services)"
amc,Entertainment & Games,Movie,first-in-csv,Movie Theater (Places & Buildings)
annoyed,Emotions & Mental States,Annoyed,exact-name,Frustrated (Emotions & Mental States)
apple music,Music,Album,first-in-csv,Playlist (Music)
aquarium,Places & Buildings,Aquarium,exact-name,Aquarium Trip (Relaxation & Leisure)
at ease,Emotions & Mental States,Calm,first-in-csv,Relaxed (Emotions & Mental States)
bank of america,Places & Buildings,Bank,first-in-csv,"Banking (Shopping, Money & Services)"
beach,Places & Buildings,Beach,exact-name,Beach Day (Relaxation & Leisure) | Beach Vacation (Relaxation & Leisure)
beats,Personal Belongings,Headphones,first-in-csv,Earbuds (Personal Belongings)
bird,Animals & Pets,Bird,exact-name,Electric Scooter (Transportation)
bluegrass,Music,Banjo,first-in-csv,Mandolin (Music)
bose,Music,Speaker,PB-excluded,Headphones (Personal Belongings)
bouquet,Celebrations & Life Events,Bouquet,exact-name,Flower (Plants & Gardening)
brushing teeth,Beauty & Personal Care,Toothbrush,first-in-csv,Brush Teeth (Daily Routines & Chores)
cabin,Places & Buildings,Cabin,exact-name,Cabin Trip (Relaxation & Leisure)
calm,Emotions & Mental States,Calm,exact-name,Meditation (Relaxation & Leisure)
canoe,Transportation,Canoe,exact-name,Canoeing (Sports & Fitness)
cash,"Shopping, Money & Services",Money,PB-excluded,Cash (Personal Belongings)
chase,Places & Buildings,Bank,first-in-csv,"Banking (Shopping, Money & Services)"
chill,Relaxation & Leisure,Relaxing,first-in-csv,Relaxed (Emotions & Mental States)
chips,Food & Drinks,Chips,exact-name,Fries (Food & Drinks)
cinema,Entertainment & Games,Movie,first-in-csv,Movie Theater (Places & Buildings)
coat,Clothing & Accessories,Coat,exact-name,Jacket (Clothing & Accessories)
couch,Home & Furniture,Couch,exact-name,Sofa (Home & Furniture)
cvs,Places & Buildings,Pharmacy,first-in-csv,Prescription (Health & Medical) | Vaccine (Health & Medical)
dentist,Professions,Dentist,exact-name,Dentist Visit (Health & Medical)
doctor,Professions,Doctor,exact-name,Doctor's Visit (Health & Medical)
fedex,Professions,Truck Driver,first-in-csv,"Delivery (Shopping, Money & Services)"
folk instrument,Music,Banjo,first-in-csv,Mandolin (Music)
forest walk,Relaxation & Leisure,Nature Walk,first-in-csv,"Woods (Nature, Weather & Seasons)"
grocery shopping,Daily Routines & Chores,Grocery Shopping,exact-name,Grocery Store (Places & Buildings)
haircut,Beauty & Personal Care,Haircut,exact-name,Barber (Professions)
headspace,Relaxation & Leisure,Meditation,first-in-csv,Mindfulness (Relaxation & Leisure)
hospital,Places & Buildings,Hospital,exact-name,Hospital Stay (Health & Medical)
jeopardy,Entertainment & Games,Trivia,first-in-csv,Game Show (Entertainment & Games)
journal,Relaxation & Leisure,Journaling,PB-excluded,Notebook (Personal Belongings)
karaoke,Entertainment & Games,Karaoke,exact-name,Singing (Music)
kayak,Transportation,Kayak,exact-name,Kayaking (Sports & Fitness)
kindle,Relaxation & Leisure,Reading,PB-excluded,Book (Personal Belongings)
lake,"Nature, Weather & Seasons",Lake,exact-name,Lake Day (Relaxation & Leisure)
library,Places & Buildings,Library,exact-name,Library Visit (Relaxation & Leisure)
loose change,"Shopping, Money & Services",Loose Change,PB-excluded,Coins (Personal Belongings)
marching band,Music,Trumpet,first-in-csv,Trombone (Music)
mixtape,Music,Playlist,first-in-csv,Cassette Tape (Music)
money,"Shopping, Money & Services",Money,PB-excluded,Cash (Personal Belongings)
mountain,"Nature, Weather & Seasons",Mountain,exact-name,Mountain Trip (Relaxation & Leisure)
museum,Places & Buildings,Museum,exact-name,Museum Visit (Relaxation & Leisure)
nail appointment,Beauty & Personal Care,Nail Salon,first-in-csv,Manicure (Beauty & Personal Care)
netflix,Entertainment & Games,Binge-watching,first-in-csv,Movie Night (Entertainment & Games) | Watch TV (Daily Routines & Chores)
ninja,Home Appliances,Blender,first-in-csv,Air Fryer (Home Appliances)
office,Places & Buildings,Office,exact-name,Office Day (Work Activities)
park,Places & Buildings,Park,exact-name,Park Day (Relaxation & Leisure)
pickup,"Shopping, Money & Services",Pickup,exact-name,Truck (Transportation)
plant care,Plants & Gardening,Watering Can,first-in-csv,Water Plants (Daily Routines & Chores)
playstation,Entertainment & Games,Video Game,first-in-csv,Game Console (Entertainment & Games)
pocket change,"Shopping, Money & Services",Loose Change,PB-excluded,Coins (Personal Belongings)
puppy,Animals & Pets,Puppy,exact-name,Dog (Animals & Pets)
ring,Home Appliances,Doorbell,first-in-csv,Security Camera (Home Appliances)
roblox,Entertainment & Games,Mobile Game,first-in-csv,Online Game (Entertainment & Games)
scrapbook,Relaxation & Leisure,Scrapbooking,PB-excluded,Photo Album (Personal Belongings)
sea,"Nature, Weather & Seasons",Sea,exact-name,"Ocean (Nature, Weather & Seasons)"
skateboard,Transportation,Skateboard,exact-name,Skateboarding (Sports & Fitness)
skating,Sports & Fitness,Skating,exact-name,Skateboard (Transportation)
slack,Work Activities,Meeting,first-in-csv,Work From Home (Work Activities)
sofa,Home & Furniture,Sofa,exact-name,Couch (Home & Furniture)
spotify,Music,Song,first-in-csv,Album (Music) | Playlist (Music)
stanley,Kitchen & Cooking,Mug,PB-excluded,Water Bottle (Personal Belongings)
starbucks,Food & Drinks,Coffee,first-in-csv,Iced Coffee (Food & Drinks) | Barista (Professions) | Cafe (Places & Buildings)
steam,Entertainment & Games,Gaming,first-in-csv,Computer Game (Entertainment & Games)
subway,Transportation,Subway,exact-name,Sandwich (Food & Drinks)
target,Places & Buildings,Supermarket,first-in-csv,"Department Store (Places & Buildings) | Store (Shopping, Money & Services)"
television,Entertainment & Games,TV,first-in-csv,Smart TV (Home Appliances)
ticketmaster,Music,Concert,PB-excluded,Ticket (Personal Belongings)
ups,Professions,Truck Driver,first-in-csv,"Delivery (Shopping, Money & Services)"
walgreens,Places & Buildings,Pharmacy,first-in-csv,Prescription (Health & Medical)
walmart,Places & Buildings,Supermarket,first-in-csv,"Store (Shopping, Money & Services)"
washing dishes,Home Appliances,Dishwasher,first-in-csv,Kitchen Sink (Kitchen & Cooking)
washing the car,Places & Buildings,Car Wash,first-in-csv,Wash Car (Daily Routines & Chores)
woods,"Nature, Weather & Seasons",Woods,exact-name,"Forest (Nature, Weather & Seasons)"
xbox,Entertainment & Games,Video Game,first-in-csv,Game Console (Entertainment & Games)
yeti,Kitchen & Cooking,Mug,PB-excluded,Water Bottle (Personal Belongings)
zoo,Places & Buildings,Zoo,exact-name,Zoo Trip (Relaxation & Leisure)
zoom,Work Activities,Meeting,first-in-csv,Work From Home (Work Activities)
